监督局
国防科工委
人民银行
管理局
卫生局
建设局
证监局
商业局
警卫局
铁路局
审计局
侦察局
纺织局
环卫局
港务局
工业局
财政局
水利局
招商局
财政厅
物资厅
交通厅
铁道部
工业部
交通部
宣传部
管委会
贸促会
行政
机关
政府
党委
市委
省委
