S0259,北方工业大学
S0260,首都医科大学
S0261,首都师范大学
S0262,首都经济贸易大学
S0263,中国传媒大学
S0264,国际关系学院
S0265,中央戏剧学院
S0266,中央美术学院
S0267,中央音乐学院
S0268,北京电子科技学院
S0269,外交学院
S0270,中国劳动关系学院
S0271,中国青年政治学院
S0272,中华女子学院
S0273,北京服装学院
S0274,北京建筑工程学院
S0275,北京印刷学院
S0276,首钢工学院
S0277,北京石油化工学院
S0278,北京农学院
S0279,首都体育学院
S0280,北京第二外国语学院
S0281,北京物资学院
S0282,北京警察学院
S0283,中国音乐学院
S0284,中国戏曲学院
S0285,北京电影学院
S0286,北京舞蹈学院
S0287,北京城市学院
S0288,北京青年政治学院
S0289,北京交通运输职业学院
S0290,北京信息职业技术学院
S0291,北京科技经营管理学院
S0292,北京电子科技职业学院
S0293,北京工业职业技术学院
S0294,北京科技职业学院
S0295,北京戏曲艺术职业学院
S0296,北京农业职业学院
S0297,北京汇佳职业学院
S0298,北京财贸职业学院
S0299,北京经济技术职业学院
S0300,北京北大方正软件职业技术学院
S0301,北京交通职业技术学院
S0302,北京培黎职业学院
S0303,北京吉利大学
S0304,北京经济管理职业学院
S0305,北京卫生职业学院
S0306,北京政法职业学院
S0307,北京体育职业学院
S0308,北京社会管理职业学院
S0309,北京新圆明职业学院
S0310,北京现代职业技术学院
S0311,北京京北职业技术学院
S0312,北京经贸职业学院
S0313,北京劳动保障职业学院
S0314,南开大学
S0315,天津大学
S0316,中国民航大学
S0317,天津工业大学
S0318,天津科技大学
S0319,天津理工大学
S0320,天津医科大学
S0321,天津中医药大学
S0322,天津师范大学
S0323,天津职业技术师范大学
S0324,天津外国语大学
S0325,天津财经大学
S0326,天津商业大学
S0327,天津天狮学院
S0328,天津城市建设学院
S0329,天津农学院
S0330,天津体育学院
S0331,天津美术学院
S0332,天津音乐学院
S0333,天津医学高等专科学校
S0334,天津工程职业技术学院
S0335,天津机电职业技术学院
S0336,天津现代职业技术学院
S0337,天津公安警官职业学院
S0338,天津轻工职业技术学院
S0339,天津市职业大学
S0340,天津渤海职业技术学院
S0341,天津滨海职业学院
S0342,天津电子信息职业技术学院
S0343,天津石油职业技术学院
S0344,天津交通职业学院
S0345,天津中德职业技术学院
S0346,天津城市职业学院
S0347,天津冶金职业技术学院
S0348,天津商务职业学院
S0349,天津城市建设管理职业技术学院
S0350,天津生物工程职业技术学院
S0351,天津艺术职业学院
S0352,天津国土资源和房屋职业学院
S0353,天津海运职业学院
S0354,天津青年职业学院
S0355,天津广播影视职业学院
S0356,天津铁道职业技术学院
S0357,天津开发区职业技术学院
S0358,天津工艺美术职业学院
S0359,河北大学
S0360,河北工业大学
S0361,燕山大学
S0362,河北联合大学
S0363,河北科技大学
S0364,石家庄铁道大学
S0365,河北工程大学
S0366,河北农业大学
S0367,河北医科大学
S0368,河北师范大学
S0369,河北经贸大学
S0370,中国人民武装警察部队学院
S0371,中央司法警官学院
S0372,防灾科技学院
S0373,华北科技学院
S0374,北华航天工业学院
S0375,河北建筑工程学院
S0376,石家庄经济学院
S0377,河北科技学院
S0378,承德医学院
S0379,唐山师范学院
S0380,廊坊师范学院
S0381,沧州师范学院
S0382,河北民族师范学院
S0383,邢台学院
S0384,河北科技师范学院
S0385,河北外国语学院
S0386,河北金融学院
S0387,河北体育学院
S0388,河北传媒学院
S0389,河北美术学院
S0390,邯郸学院
S0391,衡水学院
S0392,石家庄学院
S0393,保定学院
S0394,唐山学院
S0395,河北北方学院
S0396,承德石油高等专科学校
S0397,河北工程技术高等专科学校
S0398,石家庄人民医学高等专科学校
S0399,邢台医学高等专科学校
S0400,石家庄医学高等专科学校
S0401,沧州医学高等专科学校
S0402,石家庄幼儿师范高等专科学校
S0403,承德护理职业学院
S0404,河北化工医药职业技术学院
S0405,邯郸职业技术学院
S0406,张家口职业技术学院
S0407,沧州职业技术学院
S0408,保定职业技术学院
S0409,石家庄铁路职业技术学院
S0410,河北能源职业技术学院
S0411,石家庄职业技术学院
S0412,邢台职业技术学院
S0413,河北工业职业技术学院
S0414,石家庄科技职业学院
S0415,河北劳动关系职业学院
S0416,唐山职业技术学院
S0417,渤海石油职业学院
S0418,石家庄科技工程职业学院
S0419,石家庄邮电职业技术学院
S0420,河北司法警官职业学院
S0421,冀中职业学院
S0422,石家庄工商职业学院
S0423,石家庄经济职业学院
S0424,石家庄城市职业学院
S0425,石家庄工程职业学院
S0426,河北省艺术职业学院
S0427,河北旅游职业学院
S0428,河北女子职业技术学院
S0429,廊坊职业技术学院
S0430,保定电力职业技术学院
S0431,河北机电职业技术学院
S0432,石家庄科技信息职业学院
S0433,河北公安警察职业学院
S0434,石家庄外国语职业学院
S0435,河北建材职业技术学院
S0436,河北政法职业学院
S0437,河北石油职业技术学院
S0438,唐山工业职业技术学院
S0439,衡水职业技术学院
S0440,秦皇岛职业技术学院
S0441,唐山科技职业技术学院
S0442,泊头职业学院
S0443,河北轨道运输职业技术学院
S0444,宣化科技职业学院
S0445,廊坊东方职业技术学院
S0446,廊坊卫生职业学院
S0447,河北软件职业技术学院
S0448,石家庄理工职业学院
S0449,石家庄信息工程职业学院
S0450,河北交通职业技术学院
S0451,石家庄财经职业学院
S0452,河北外国语职业学院
S0453,廊坊燕京职业技术学院
S0454,山西大学
S0455,太原理工大学
S0456,中北大学
S0457,太原科技大学
S0458,山西农业大学
S0459,山西医科大学
S0460,山西师范大学
S0461,山西大同大学
S0462,山西财经大学
S0463,太原工业学院
S0464,山西中医学院
S0465,长治医学院
S0466,吕梁学院
S0467,忻州师范学院
S0468,太原师范学院
S0469,运城学院
S0470,长治学院
S0471,晋中学院
S0472,山西工商学院
S0473,太原电力高等专科学校
S0474,运城幼儿师范高等专科学校
S0475,晋中师范高等专科学校
S0476,阳泉师范高等专科学校
S0477,山西省财政税务专科学校
S0478,山西警官高等专科学校
S0479,太原大学
S0480,山西药科职业学院
S0481,山西兴华职业学院
S0482,山西建筑职业技术学院
S0483,山西轻工职业技术学院
S0484,山西工程职业技术学院
S0485,运城职业技术学院
S0486,山西老区职业技术学院
S0487,大同煤炭职业技术学院
S0488,山西交通职业技术学院
S0489,山西艺术职业学院
S0490,长治职业技术学院
S0491,晋城职业技术学院
S0492,山西电力职业技术学院
S0493,山西体育职业学院
S0494,山西警官职业学院
S0495,山西国际商务职业学院
S0496,山西华澳商贸职业学院
S0497,山西机电职业技术学院
S0498,山西戏剧职业学院
S0499,山西财贸职业技术学院
S0500,山西林业职业技术学院
S0501,山西水利职业技术学院
S0502,阳泉职业技术学院
S0503,晋中职业技术学院
S0504,运城护理职业学院
S0505,忻州职业技术学院
S0506,山西金融职业学院
S0507,临汾职业技术学院
S0508,山西职业技术学院
S0509,太原城市职业技术学院
S0510,山西运城农业职业技术学院
S0511,山西青年职业学院
S0512,山西经贸职业学院
S0513,山西同文职业技术学院
S0514,山西信息职业技术学院
S0515,山西管理职业学院
S0516,山西旅游职业学院
S0517,潞安职业技术学院
S0518,太原旅游职业学院
S0519,朔州职业技术学院
S0520,山西煤炭职业技术学院
S0521,内蒙古大学
S0522,内蒙古科技大学
S0523,内蒙古民族大学
S0524,内蒙古工业大学
S0525,内蒙古农业大学
S0526,内蒙古医科大学
S0527,内蒙古师范大学
S0528,内蒙古财经大学
S0529,河套学院
S0530,赤峰学院
S0531,集宁师范学院
S0532,呼伦贝尔学院
S0533,呼和浩特民族学院
S0534,乌兰察布医学高等专科学校
S0535,满洲里俄语职业学院
S0536,包头职业技术学院
S0537,内蒙古建筑职业技术学院
S0538,内蒙古机电职业技术学院
S0539,乌海职业技术学院
S0540,呼和浩特职业学院
S0541,内蒙古交通职业技术学院
S0542,阿拉善职业技术学院
S0543,赤峰工业职业技术学院
S0544,内蒙古能源职业学院
S0545,乌兰察布职业学院
S0546,内蒙古电子信息职业技术学院
S0547,通辽职业学院
S0548,内蒙古化工职业学院
S0549,内蒙古商贸职业学院
S0550,包头铁道职业技术学院
S0551,包头钢铁职业技术学院
S0552,内蒙古美术职业学院
S0553,科尔沁艺术职业学院
S0554,包头轻工职业技术学院
S0555,锡林郭勒职业学院
S0556,兴安职业技术学院
S0557,内蒙古警察职业学院
S0558,内蒙古体育职业学院
S0559,内蒙古经贸外语职业学院
S0560,赤峰职业技术学院
S0561,内蒙古北方职业技术学院
S0562,鄂尔多斯职业学院
S0563,内蒙古科技职业学院
S0564,内蒙古丰州职业学院
S0565,呼伦贝尔职业技术学院
S0566,内蒙古工业职业学院
S0567,大连理工大学
S0568,东北大学
S0569,大连海事大学
S0570,辽宁大学
S0571,大连大学
S0572,沈阳大学
S0573,沈阳理工大学
S0574,辽宁工程技术大学
S0575,沈阳工业大学
S0576,沈阳建筑大学
S0577,辽宁石油化工大学
S0578,大连交通大学
S0579,沈阳化工大学
S0580,辽宁科技大学
S0581,大连工业大学
S0582,辽宁工业大学
S0583,沈阳航空航天大学
S0584,沈阳农业大学
S0585,大连海洋大学
S0586,中国医科大学
S0587,大连医科大学
S0588,辽宁中医药大学
S0589,沈阳药科大学
S0590,辽宁师范大学
S0591,沈阳师范大学
S0592,渤海大学
S0593,东北财经大学
S0594,大连民族学院
S0595,中国刑事警察学院
S0596,沈阳工程学院
S0597,辽宁科技学院
S0598,大连东软信息学院
S0599,大连科技学院
S0600,辽宁医学院
S0601,沈阳医学院
S0602,辽宁何氏医学院
S0603,鞍山师范学院
S0604,大连外国语学院
S0605,辽宁财贸学院
S0606,沈阳体育学院
S0607,鲁迅美术学院
S0608,沈阳音乐学院
S0609,大连艺术学院
S0610,辽东学院
S0611,辽宁对外经贸学院
S0612,辽宁交通高等专科学校
S0613,朝阳师范高等专科学校
S0614,抚顺师范高等专科学校
S0615,铁岭师范高等专科学校
S0616,锦州师范高等专科学校
S0617,辽宁税务高等专科学校
S0618,辽宁警官高等专科学校
S0619,阜新高等专科学校
S0620,辽宁城市建设职业技术学院
S0621,辽宁冶金职业技术学院
S0622,辽宁工程职业学院
S0623,铁岭卫生职业学院
S0624,辽宁卫生职业技术学院
S0625,抚顺职业技术学院
S0626,辽阳职业技术学院
S0627,大连职业技术学院
S0628,渤海船舶职业学院
S0629,盘锦职业技术学院
S0630,大连商务职业学院
S0631,辽宁农业职业技术学院
S0632,营口职业技术学院
S0633,沈阳职业技术学院
S0634,辽宁金融职业学院
S0635,辽河石油职业技术学院
S0636,辽宁装备制造职业技术学院
S0637,辽宁现代服务职业技术学院
S0638,辽宁政法职业学院
S0639,沈阳北软信息职业技术学院
S0640,辽宁体育运动职业技术学院
S0641,辽宁职业学院
S0642,大连装备制造职业技术学院
S0643,沈阳航空职业技术学院
S0644,辽宁地质工程职业学院
S0645,辽宁铁道职业技术学院
S0646,辽宁建筑职业技术学院
S0647,大连枫叶职业技术学院
S0648,辽宁商贸职业学院
S0649,大连翻译职业学院
S0650,辽宁理工职业学院
S0651,大连软件职业学院
S0652,辽宁美术职业学院
S0653,大连航运职业技术学院
S0654,辽宁林业职业技术学院
S0655,辽宁经济职业技术学院
S0656,辽宁信息职业技术学院
S0657,辽宁广告职业学院
S0658,大连汽车职业技术学院
S0659,辽宁机电职业技术学院
S0660,辽宁石化职业技术学院
S0661,吉林大学
S0662,东北师范大学
S0663,延边大学
S0664,北华大学
S0665,长春大学
S0666,长春理工大学
S0667,长春工业大学
S0668,吉林农业大学
S0669,长春中医药大学
S0670,吉林师范大学
S0671,吉林财经大学
S0672,东北电力大学
S0673,长春工程学院
S0674,吉林建筑工程学院
S0675,吉林化工学院
S0676,长春建筑学院
S0677,吉林农业科技学院
S0678,吉林医药学院
S0679,通化师范学院
S0680,白城师范学院
S0681,吉林工程技术师范学院
S0682,长春师范学院
S0683,吉林华桥外国语学院
S0684,吉林工商学院
S0685,吉林警察学院
S0686,吉林体育学院
S0687,吉林艺术学院
S0688,吉林动画学院
S0689,长春汽车工业高等专科学校
S0690,长春医学高等专科学校
S0691,白城医学高等专科学校
S0692,长春金融高等专科学校
S0693,吉林科技职业技术学院
S0694,四平职业大学
S0695,辽源职业技术学院
S0696,长春东方职业学院
S0697,吉林交通职业技术学院
S0698,吉林铁道职业技术学院
S0699,吉林司法警官职业学院
S0700,白城职业技术学院
S0701,吉林工业职业技术学院
S0702,吉林电子信息职业技术学院
S0703,长白山职业技术学院
S0704,松原职业技术学院
S0705,长春信息技术职业学院
S0706,延边职业技术学院
S0707,长春职业技术学院
S0708,吉林农业工程职业技术学院
S0709,东北林业大学
S0710,哈尔滨工业大学
S0711,哈尔滨工程大学
S0712,黑龙江大学
S0713,佳木斯大学
S0714,齐齐哈尔大学
S0715,哈尔滨理工大学
S0716,东北石油大学
S0717,东北农业大学
S0718,黑龙江八一农垦大学
S0719,哈尔滨医科大学
S0720,黑龙江中医药大学
S0721,哈尔滨师范大学
S0722,哈尔滨商业大学
S0723,哈尔滨学院
S0724,黑龙江工程学院
S0725,齐齐哈尔工程学院
S0726,黑龙江科技学院
S0727,哈尔滨远东理工学院
S0728,哈尔滨石油学院
S0729,齐齐哈尔医学院
S0730,牡丹江医学院
S0731,牡丹江师范学院
S0732,大庆师范学院
S0733,黑龙江外国语学院
S0734,哈尔滨金融学院
S0735,哈尔滨德强商务学院
S0736,哈尔滨体育学院
S0737,黑龙江东方学院
S0738,绥化学院
S0739,哈尔滨剑桥学院
S0740,哈尔滨广厦学院
S0741,黑河学院
S0742,哈尔滨华德学院
S0743,黑龙江护理高等专科学校
S0744,大庆医学高等专科学校
S0745,齐齐哈尔高等师范专科学校
S0746,黑龙江幼儿师范高等专科学校
S0747,鹤岗师范高等专科学校
S0748,鸡西大学
S0749,黑龙江司法警官职业学院
