Raidi ,2003—,Vice-Chairman,Standing Committee of the NPC
Raidi ,2002—2007,Member,CPC,Central Committee
Raidi ,1997—2002,Member,CPC,Central Committee
Raidi ,1993—,Chairman,Autonomous Regional People's Congress,Standing Committee,Tibet Autonomous Region
Raidi ,1992—1997,Member,CPC,Central Committee
Raidi ,1987—1992,Member,CPC,Central Committee
Raidi ,1987—1992,Member,CPC,Central Committee
Raidi ,1985—2002,Deputy Secretary,CPC,Autonomous Regional Committee,Tibet Autonomous Region
Raidi ,1985—1993,Chairman,CPPCC,Autonomous Regional Committee,Tibet Autonomous Region
Raidi ,1983—1985,Student,CPC,Central Committee,Central Party School
Raidi ,1982—1987,Member,CPC,Central Committee
Raidi ,1979—1983,Vice-Chairman,Autonomous Regional People's Congress,Standing Committee,Tibet Autonomous Region
Raidi ,1977—1985,President,CPC,Autonomous Regional Committee,Party School,Tibet Autonomous Region
Raidi ,1977—1993,Secretary,CPC,Autonomous Regional Committee,Commission for Discipline Inspection,Tibet Autonomous Region
Raidi ,1977—1982,Alternate Member,CPC,Central Committee
Raidi ,1977—1979,Vice-Chairman,Cultural Revolution,Revolutionary Committee,Tibet Autonomous Region
Raidi ,1975—1985,Secretary,CPC,Autonomous Regional Committee,Tibet Autonomous Region
Raidi ,1975—1977,Deputy Director,Cultural Revolution,Revolutionary Committee,Farming Office,Tibet Autonomous Region
Raidi ,1972—1975,Secretary,CPC,Autonomous Prefectural Committee,Tibet Autonomous Region,Nagqu Prefecture
Raidi ,1968—1972,Deputy Leader,Cultural Revolution,Revolutionary Committee,Tibet Autonomous Region,Nagqu Prefecture
Raidi ,1966—1968,Worker,PLA,Regions,Tibet Military District,Military Control Commission,Tibet Autonomous Region,Nagqu Prefecture
Raidi ,1962—1966,Secretary,Prefectural Administrative Office,Public Security Division,Tibet Autonomous Region,Nagqu Prefecture
Raidi ,1961,Joined,CPC
Raidi ,1959—1962,Student,Central Political Science and Law Cadre School,Beijing Municipality
Ran Guiying,1977—1982,Alternate Member,CPC,Central Committee
Ran Wanxiang,2015—,Deputy Director,CPC,Central Committee,United Front Work Department
Rao Fangquan,1995—,Academician,Chinese Academy of Engineering
Rao Fangquan,,Professor,Jiaotong University,Electric Power Engineering Department,Shanghai Municipality
Rao Fangquan,,Worker,Harbin Electrical Machinery Plant,Heilongjiang Province,Harbin City
Rao Fangquan,,Worker,Harbin Electro-Mechanic Research Institute,Heilongjiang Province,Harbin City
Rao Fangquan,1958,Graduate,Harbin Institute of Technology,Electric Machinery Department,Heilongjiang Province,Harbin City
Rao Xingli,1982—1987,Member,CPC,Central Committee
Rao Xingli,1977—1982,Member,CPC,Central Committee
Rao Xingli,1973—1977,Member,CPC,Central Committee
Rao Xingli,1969—1973,Member,CPC,Central Committee
Ren Baodong,1998—2000,Graduate Student,Renmin University of China,Beijing Municipality
Ren Baodong,1994—1998,Student,Tsinghua University,Chemical Engineering Department,Beijing Municipality
Ren Baodong,1994—,Vice-President,Beijing Zehua Chemical Engineering Company Limited,Beijing Municipality
Ren Bishi,1945—1956,Member,CPC,Central Committee
Ren Chuanjun,2002—,Vice-Chairman of the Board,PetroChina Company Ltd.
Ren Chuanjun,1999—2002,Senior Vice-President,PetroChina Company Ltd.
Ren Chuanjun,1999—,Director,PetroChina Company Ltd.
Ren Chuanjun,1998—1999,Vice-President,China National Petroleum Corporation (CNPC)
Ren Chuanjun,1994—1998,Vice-President,China National Textile and Apparel Council
Ren Chuanjun,1983—1994,Deputy General Manager,Yizheng Fiber Industrial United Corporation,Jiangsu Province,Yizheng City
Ren Chuanjun,1983—1994,General Manager,Yizheng Fiber Industrial United Corporation,Jiangsu Province,Yizheng City
Ren Deqi,2014—,Vice-Governor,Bank of China
Ren Deqi,2013—2014,General Manager,China Construction Bank,Risk Management Department
Ren Deqi,2003—2010,Governor,China Construction Bank,Provincial Branch,Hubei Province
Ren Deqi,2003—2010,General Manager,China Construction Bank,Credit Management Department
Ren Deqi,1988,Graduate,Tsinghua University,Beijing Municipality
Ren Hai,1998—2003,Deputy,NPC
Ren Hai,,Board Chairman,Seastar Group
Ren Hai,,Executive Director,China Industrialists Association of Individual Technology
Ren Hai,,Vice Director-General,China Association for Promoting Individual Technology
Ren Hai,,Executive Member,All-China Federation of Industry and Commerce
Ren Hai,,Associate Professor,Xi'an Jiaotong University,Shaanxi Province,Xi'an City
Ren Hai,,Graduate,Fudan University,Shanghai Municipality
Ren Hai,,Graduate,Xi'an Jiaotong University,Computer Science Department,Shaanxi Province,Xi'an City
Ren Haishen,2003—,Member,CPC,Provincial Committee,Standing Committee,Anhui Province
Ren Haishen,,Vice-Governor,People's Government,Anhui Province
Ren Haishen,,Mayor,People's Government,Shandong Province,Yantai City
Ren Haishen,,Graduate,CPC,Central Committee,Central Party School
Ren Haishen,1971,Joined,CPC
Ren Hongbin,2013—,President,China National Machinery Industry Corporation
Ren Hongbin,2012—,Alternate Member,CPC,Central Committee
Ren Jianxin,1998—2003,Vice-Chairman,CPPCC,National Committee
Ren Jianxin,1997—2002,Delegate,CPC,National Congress
Ren Jianxin,1997—1998,President,China Law Society
Ren Jianxin,1992—1997,Honorary Chairman,World Jurists Association
Ren Jianxin,1992—1997,Secretary,Political Science and Law Committee of the State Council
Ren Jianxin,1992—1997,Member,CPC,Central Committee
Ren Jianxin,1992—1997,Member,CPC,Central Committee,Politburo,Secretariat
Ren Jianxin,1988—1992,President,Supreme People's Court
Ren Jianxin,1987—1992,Member,CPC,Central Committee
Ren Jianxin,1985—????,Member,World Peace Through Law Center,Executive Committee
Ren Jianxin,1983—1988,Vice-President,Supreme People's Court
Ren Jianxin,1983—1988,Vice-President,China Council for the Promotion of International Trade
Ren Jianxin,1971—1981,Director,China Council for the Promotion of International Trade,Legal Affairs Department
Ren Jianxin,,Secretary-General,Maritime Arbitration Commission
Ren Jianxin,1959—1966,Secretary-General,Foreign Economic and Trade Arbitration Commission
Ren Jianxin,1949—1959,Clerk,State Council Bureau of Legislative Affairs
Ren Jianxin,1949—1959,Clerk,Legislative Affairs Office of the State Council
Ren Jianxin,1949—1959,Clerk,CPC,Central Committee,Political Science and Law Committee
Ren Jianxin,1946—1948,Student,Beijing University,Beijing Municipality
Ren Keli,1998—2003,Deputy,NPC
Ren Keli,1998—,Chairman,Provincial People's Congress,Standing Committee,Henan Province
Ren Keli,1997—2002,Delegate,CPC,National Congress
Ren Keli,1995—,Deputy Secretary,CPC,Provincial Committee,Henan Province
Ren Keli,1992—1997,Delegate,CPC,National Congress
Ren Keli,1992—1995,Deputy Secretary,CPC,Provincial Committee,Yunnan Province
Ren Keli,1988—1993,Deputy,NPC
Ren Keli,,Head,CPC,Provincial Committee,Organization Department,Yunnan Province
Ren Keli,,Member,CPC,Provincial Committee,Standing Committee,Yunnan Province
Ren Keli,,Secretary,Tongling Non-Ferrous Metals Company,Anhui Province,Tongling City
Ren Keli,,Deputy Secretary,CPC,City Committee,Anhui Province,Tongling City
Ren Keli,,Secretary-General,CPC,City Committee,Anhui Province,Tongling City
Ren Keli,,Member,CPC,City Committee,Standing Committee,Anhui Province,Tongling City
Ren Keli,,Deputy Head,CPC,City Committee,Organization Department,Anhui Province,Tongling City
Ren Keli,,Secretary,Shizishan Mine,CPC,Party Committee,Anhui Province,Tongling City
Ren Keli,,Chief,Guanshan Copper Mine,Political Division,Anhui Province,Tongling City
Ren Keli,1955,Joined,CPC
Ren Luquan,,President,Jilin University of Technology,Jilin Province
Ren Luquan,1995,Secretary,Jilin University of Technology,CPC,Party Committee,Jilin Province
Ren Luquan,,Vice-President,Jilin University of Technology,Jilin Province
Ren Luquan,,Dean,Jilin University of Technology,Farming Machine Department,Jilin Province
Ren Luquan,1981,Graduate,Jilin University of Technology,Jilin Province
Ren Luquan,1967,Graduate,Jilin University of Technology,Jilin Province
Ren Luquan,,Joined,CPC
Ren Meie,1980—,Academician,Chinese Academy of Sciences
Ren Meie,,Honorary Chairman,China Society for Oceanography
Ren Meie,,Honorary Chairman,Chinese Geographical Society
Ren Meie,,Professor,Nanjing University,Jiangsu Province,Nanjing City
Ren Meie,1939,Graduate,University of Glasgow,Scotland,Glasgow
Ren Meie,1934,Graduate,Central University for Nationalities,Geography Department,Beijing Municipality
Ren Qixing,2001—,Chairman,CPPCC,Autonomous Regional Committee,Ningxia Hui Autonomous Region
