Tan Benhong,2014—,Commander,PLA,Services and Arms,Army (or Ground Force),Corps Command,Hong Kong SAR
Tan Furen,1969—1973,Member,CPC,Central Committee
Tan Jialin,2004—,Deputy Director,CPC,Central Committee,International Liaison Department
Tan Jialin,2003—2004,Deputy Secretary,CPC,Central Committee,International Liaison Department
Tan Jialin,1994—2003,Deputy Director,CPC,Central Committee,International Liaison Department,General Office
Tan Jialin,1984,Joined,CPC
Tan Jiazhen,,Professor,Fudan University,Shanghai Municipality
Tan Jiazhen,1999—,Honorary Academician,New York Academy of Science
Tan Jiazhen,1987—,Foreign Academician,Italian National Academy of Science
Tan Jiazhen,1985—,Academician,Third World Academy of Sciences
Tan Jiazhen,1985—,Foreign Academician,American National Academy of Science
Tan Jiazhen,1980—,Academician,Chinese Academy of Sciences
Tan Jiazhen,1932,Graduate,Yanjing University,Beijing Municipality
Tan Jiazhen,1930,Graduate,Dongwu University,Jiangsu Province,Suzhou City
Tan Li,2010—2014,Vice-Governor,People's Government,Hainan Province
Tan Li,2009—2010,Director,People's Government,Publicity Department,Hainan Province
Tan Li,2009—2010,Member,CPC,Provincial Committee,Hainan Province
Tan Li,2004—2009,Secretary,CPC,City Committee,Sichuan Province,Mianyang City
Tan Li,2004—2004,Director,City People's Congress,Sichuan Province,Guang'an
Tan Li,2001—2004,Secretary,CPC,City Committee,Sichuan Province,Guang'an
Tan Li,1998—2001,Member,CPC,City Committee,Standing Committee,Sichuan Province,Chengdu City
Tan Li,1998—2001,Director,CPC,City Committee,Publicity Department,Sichuan Province,Chengdu City
Tan Li,1997—1998,Assistant to the Mayor,People's Government,Sichuan Province,Chengdu City
Tan Li,1996—1997,Head,People's Government,Sichuan Province,Pixian County
Tan Li,1995—1998,Secretary,CPC,County Committee,Sichuan Province,Pixian County
Tan Li,1993—1995,Deputy Secretary,CPC,County Committee,Sichuan Province,Pixian County
Tan Li,1985—1995,Director,CPC,Provincial Committee,Party School,Teaching and Research Laboratory,Sichuan Province
Tan Li,1983—1985,Worker,Education Bureau,Sichuan Province,Yibin Prefecture
Tan Li,1979—1983,Student,Chongqing Normal College,History Department,Chongqing Municipality
Tan Liangliang,1999—,General Manager,Nanning Water Supply Company,Guangxi Zhuang Autonomous Region,Nanning City
Tan Liangliang,1996—1999,Deputy General Manager,Nanning Water Supply Company,Guangxi Zhuang Autonomous Region,Nanning City
Tan Liangliang,1995—1996,Assistant to the General Manager,Nanning Water Supply Company,Guangxi Zhuang Autonomous Region,Nanning City
Tan Liangliang,1990—1995,Deputy Director,Nanning Water Supply Company,Design Office,Guangxi Zhuang Autonomous Region,Nanning City
Tan Liangliang,,Joined,CPC
Tan Liangliang,1987—1990,Assistant Engineer,Nanning Water Supply Company,Design Office,Guangxi Zhuang Autonomous Region,Nanning City
Tan Liangliang,1982—1987,Student,Chongqing University,Chongqing Municipality
Tan Min,,Professor,Shanghai Institute of Finance and Economics,Shanghai Municipality
Tan Min,,President,Shanghai Institute of Finance and Economics,Shanghai Municipality
Tan Min,,Secretary,Shanghai Institute of Finance and Economics,CPC,Party Committee
