Name,Hash_Key,Offcd,Degree,School,Major,Edu_S,Edu_E
官员姓名,搜索键,官员代码,学历/学位,毕业学校,专业,教育起始时间,教育终止时间
江一真,0c48bef8b56701b2da6c42e5ba50287d44c9bbc2,0000002009,学习,中央红军卫生学校,,1932.00,
姜春云,5d242432bcee3d5d9af7fb0922712325592c5829,0000002019,学习,山东省莱西县教师训练班,,1946.00,1949.00
姜春云,5d242432bcee3d5d9af7fb0922712325592c5829,0000002019,函授,中国语言文学自修大学,,1985.00,1987.00
姜大明,75b48fa7f10db055156ecc6c4ad8738650be2b72,0000002020,本科,黑龙江大学,哲学,1978.03,1982.01
姜大明,75b48fa7f10db055156ecc6c4ad8738650be2b72,0000002020,研究生,哈尔滨工业大学,技术经济,1994.10,1996.05
姜大明,75b48fa7f10db055156ecc6c4ad8738650be2b72,0000002020,进修,中央党校,,1996.03,1996.05
姜大明,75b48fa7f10db055156ecc6c4ad8738650be2b72,0000002020,研究生,中央党校,政治学,1998.09,2001.07
蒋超良,622b23e50f203c921ae38cccacf6aedc0ce704f8,0000002051,本科,湖南财经学院,财政,1978.08,1981.08
蒋超良,622b23e50f203c921ae38cccacf6aedc0ce704f8,0000002051,研究生,西南财经大学,货币银行学,1993.09,1996.07
蒋超良,622b23e50f203c921ae38cccacf6aedc0ce704f8,0000002051,进修,中央党校,,2008.05,2008.07
蒋定之,4d86e929c567ed7acb4787f69f7072963ddf28dd,0000002056,大专,江苏省镇江地区第二师范学校,,1977.03,1979.01
蒋定之,4d86e929c567ed7acb4787f69f7072963ddf28dd,0000002056,本科,南京理工大学,环境工程,1998.09,2001.03
蒋定之,4d86e929c567ed7acb4787f69f7072963ddf28dd,0000002056,研究生,中央党校,政治学,2002.09,2005.07
蒋巨峰,07ff9affdb158e379b42f5609f5cdb260cd35efb,0000002066,本科,复旦大学,政治经济学,1978.10,1982.07
蒋巨峰,07ff9affdb158e379b42f5609f5cdb260cd35efb,0000002066,进修,中央党校,,1991.04,1991.07
蒋巨峰,07ff9affdb158e379b42f5609f5cdb260cd35efb,0000002066,培训,中央党校,,1996.09,1997.07
蒋祝平,ce09d034ccee2fe29306f9d0b37140d0ff55bce4,0000002082,学习,哈尔滨军事工程学院,导弹工程,,1963.00
焦若愚,01268dc1f82f116982b707d717c0eb9b6fbaa3e0,0000002086,,,,,
