Name,Hash_Key,Offcd,Degree,School,Major,Edu_S,Edu_E
官员姓名,搜索键,官员代码,学历/学位,毕业学校,专业,教育起始时间,教育终止时间
马信,dc59f3f16aa33c77d12ff1e514e1ee50bfb23fff,0000003836,,,,,
马兴元,b517b5f9bea73512adac5687d180fdb0516a1564,0000003837,,,,,
马忠臣,d33d685a3bd50757b1e3d84870d769a7c2753ec0,0000003870,专科,中央党校,,1980.09,1981.07
毛致用,f725845e57b54efc5763fc659a4856594422788e,0000003893,,,,,
孟建柱,e45393b64d87eb2a83d02b3a914413d31b386e33,0000003913,专科,经济管理刊授联合大学上海市分校,工业企业管理,1983.00,1986.00
孟建柱,e45393b64d87eb2a83d02b3a914413d31b386e33,0000003913,学习,上海市委党校,党政管理,1984.00,1986.00
孟建柱,e45393b64d87eb2a83d02b3a914413d31b386e33,0000003913,研究生,上海机械学院,系统工程,1987.00,1991.00
孟学农,127be0856c58a9c139e6332008421c610a34ae3a,0000003923,研究生,,,,
南萍,42ec725266b60ed3adca4459348abf28ad894456,0000003971,,,,,
聂璧初,b0d5e83bc927fff2a313f313e683fd3f6f325489,0000003985,本科,天津北洋大学（今天津大学）,机械,1946.00,1950.00
钮茂生,43430ac6a2103c83c5278eb6bd969a114d7e0b37,0000004014,本科,北京农业机械化学院（中国农业大学）,农田水利,,1963.00
努尔·白克力,e430e91bf5f9a255655469c96e34b8a1d80b7aaa,0000004017,本科,新疆大学,政治理论,1978.11,1983.08
努尔·白克力,e430e91bf5f9a255655469c96e34b8a1d80b7aaa,0000004017,研究生,中央党校,政治理论,1986.09,1989.07
欧阳钦,256abae11752eca48e2a9ab7c4e1c94f1d0136ce,0000004026,,长沙长郡中学,,,1918.00
欧阳钦,256abae11752eca48e2a9ab7c4e1c94f1d0136ce,0000004026,,北京高等法文专修馆,,,
欧阳钦,256abae11752eca48e2a9ab7c4e1c94f1d0136ce,0000004026,学习,莫斯科苏联红军学校,军事,1925.08,
潘复生,86dd525aa4a6d9e7b5146b5503487b6baa1e20f1,0000004041,,山东省立第一乡村师范学校,,,
潘自力,a13a0145d322f558dc1acc656ec0b7ab4d96f94d,0000004066,,,,,
彭冲,6734a9fb5762efd4d7fbe0715404b0c3cf4cec3e,0000004085,,,,,
彭真,5d35122dee33896dfd8ef1d0e24306b01c9423e3,0000004117,,太原山西省立第一中学,,,
蒲海清,a058ceeea9cc2d72740663cfad16c947e8c21ca1,0000004121,本科,重庆大学,轧钢,1961.09,1966.09
蒲海清,a058ceeea9cc2d72740663cfad16c947e8c21ca1,0000004121,培训,冶金工业部冶金干部管理学院,,1983.12,1984.06 
蒲海清,a058ceeea9cc2d72740663cfad16c947e8c21ca1,0000004121,培训,中央党校,,1986.10,1987.02
普朝柱,3f744ba03ef08c3b06ad5a3f4a9ac21e2c0a1951,0000004124,学习,中共云南省委党校,,1951.00,1952.00
钱敏,579405dbf11e699f0da3ae084cd48d5325da3b35,0000004148,,,,,
钱运录,f4d5cbd8a58c179c757b839495583a5ee488f94a,0000004157,本科,湖北大学,国民经济计划统计系统计学,1963.00,1967.00
强卫,e7b2617304c747c04839b822e856dc07fdf2074b,0000004159,进修,山东大学,光学,1976.02,1976.11
强卫,e7b2617304c747c04839b822e856dc07fdf2074b,0000004159,学习,北京市化工局职工大学,有机化学试剂,1979.02,1982.08
强卫,e7b2617304c747c04839b822e856dc07fdf2074b,0000004159,学习,中国政法大学,政治学,1988.09,1990.07
强卫,e7b2617304c747c04839b822e856dc07fdf2074b,0000004159,进修,中央党校,,1995.09,1995.11
强卫,e7b2617304c747c04839b822e856dc07fdf2074b,0000004159,研究生,中国科技大学,经济管理,1991.09,1996.11
强卫,e7b2617304c747c04839b822e856dc07fdf2074b,0000004159,研究生,中央党校,法学,1995.09,1998.07
秦光荣,03e8f3cb64f8b80c8e9a2b209897388e8709c3c1,0000004180,大专,湖南衡阳师范专科学校,中文,1973.09,1975.08
秦光荣,03e8f3cb64f8b80c8e9a2b209897388e8709c3c1,0000004180,进修,中央党校,,1992.03,1992.07
秦光荣,03e8f3cb64f8b80c8e9a2b209897388e8709c3c1,0000004180,研究生,中南工业大学,管理科学与工程,1993.03,1995.12
全树仁,4c0668d397cd6430483ac7829543f7f4e608e6c7,0000004236,,,,,
任白戈,4be354eceb86b42427c15b8ae93568595f028274,0000004254,,,,,
任仲夷,f83a0d450dcaf6fa71d6df20aa9c46794663de52,0000004279,,,,,
阮崇武,902195afceb6a4a9be71f29c67cffb5aebd7730d,0000004288,学习, 北京工业学院,自然科学,1951.00,
阮崇武,902195afceb6a4a9be71f29c67cffb5aebd7730d,0000004288,学习,北京俄语专科学校,人文科学,1952.00,
阮崇武,902195afceb6a4a9be71f29c67cffb5aebd7730d,0000004288,学习,莫斯科汽车机械学院,自然科学,1953.00,1957.00
邵奇惠,3881af8c81808fa9234e72854fa700445ae1b1e7,0000004318,学习,浙江省杭州市第二中学,,1952.09,1955.02
邵奇惠,3881af8c81808fa9234e72854fa700445ae1b1e7,0000004318,本科,哈尔滨工业大学,机械制造,1962.00,1967.00
沈达人,d61018ec0d5393787b11280253dd015572d8317c,0000004341,,,,,
石秀诗,1d9573da2182a45c2d22664e395671fb10e61247,0000004404,学习,北京建筑工业学院,玻璃陶瓷工艺,1959.09,1964.10
石宗源,0da14d42b593411566602aa69273aacde2d40ef9,0000004408,本科,西北民族学院,政治,1964.09,1968.10
石宗源,0da14d42b593411566602aa69273aacde2d40ef9,0000004408,培训,中央党校,,1985.09,1986.01
石宗源,0da14d42b593411566602aa69273aacde2d40ef9,0000004408,进修,中央党校,,1997.09,1997.11
舒圣佑,ec6a341d6f3a767881efc57b4229a61b8c856de7,0000004437,,,,,
宋宝瑞,e685ad7a7cc62e58690b5ed2ac5af8320acbef32,0000004447,本科,清华大学,焊接材料及设备,1957.09,1963.09
宋宝瑞,e685ad7a7cc62e58690b5ed2ac5af8320acbef32,0000004447,研究生,清华大学,焊接,1957.09,1963.09
宋法棠,7ff60db14aefe7ea5eb2eab7288c137e96744aa3,0000004456,本科,山东曲阜师范学院,汉语言文学,,
宋佩璋,c111126623760075656237b52c182b043af19fa3,0000004479,,,,,
宋平,ca5b1dc7cd5006ad7402fc058985ca8722247c04,0000004480,大专,北平大学农学院、清华大学、西南联合大学,,1934.00,1937.00
宋秀岩,65c7919ace00ca277ad7ad24b490d6383ffe3211,0000004503,培训,中国青年政治学院,政治教育,1985.09,1987.07
宋秀岩,65c7919ace00ca277ad7ad24b490d6383ffe3211,0000004503,学习,中央党校,经济管理,1993.08,1995.12
宋秀岩,65c7919ace00ca277ad7ad24b490d6383ffe3211,0000004503,研究生,中央党校,政治学,1998.09,2001.07
宋秀岩,65c7919ace00ca277ad7ad24b490d6383ffe3211,0000004503,进修,中央党校,,2002.09,2002.12
宋照肃,69f49eb76ec060281176e20ae4cde221ebc76688,0000004516,本科,郑州大学,政治系,,
宋照肃,69f49eb76ec060281176e20ae4cde221ebc76688,0000004516,培训,中央党校,,1987.03,1987.07
宋照肃,69f49eb76ec060281176e20ae4cde221ebc76688,0000004516,培训,中央党校,,1994.09,1994.10
宋照肃,69f49eb76ec060281176e20ae4cde221ebc76688,0000004516,培训,中央党校,,1997.03,1997.05
王金山,b88cd9e3e2ca8f664c3295ed3460bb62f0b2c677,0000004565,大专,吉林省四平师范专科学校,理化科物理,1964.09,1967.09
王金山,b88cd9e3e2ca8f664c3295ed3460bb62f0b2c677,0000004565,进修,中央党校,,1983.09,1984.01
王金山,b88cd9e3e2ca8f664c3295ed3460bb62f0b2c677,0000004565,研究生,南开大学,政治经济学,1993.09,1996.04
王金山,b88cd9e3e2ca8f664c3295ed3460bb62f0b2c677,0000004565,进修,中央党校,,1995.09,1995.11
王君,e1f22c3ce7d018521dc5cedd8cbd6d60476f2239,0000004590,大专,山西矿业学院,采煤,1974.09,1977.09
王君,e1f22c3ce7d018521dc5cedd8cbd6d60476f2239,0000004590,培训,中央党校,理论学习班,1985.09,1986.01
王君,e1f22c3ce7d018521dc5cedd8cbd6d60476f2239,0000004590,培训,中央党校,,1990.09,1991.01
王君,e1f22c3ce7d018521dc5cedd8cbd6d60476f2239,0000004590,培训,中央党校,,1995.09,1996.07
王君,e1f22c3ce7d018521dc5cedd8cbd6d60476f2239,0000004590,研究生,中央党校,哲学,1995.09,1998.09
王乐泉,1826b6059e70c4b27caf58f064306da6236202f1,0000004609,培训,中央党校,,1983.00,1986.00
王乐泉,1826b6059e70c4b27caf58f064306da6236202f1,0000004609,研究生,中央党校,,,
王茂林,52bc149a4ee1e91142fa066a1b1949ef26934d64,0000004640,进修,上海沪北会计专修班,会计,1951.07,1953.01
王茂林,52bc149a4ee1e91142fa066a1b1949ef26934d64,0000004640,培训,北京煤炭干部学校,采煤,1963.07,1964.01
王茂林,52bc149a4ee1e91142fa066a1b1949ef26934d64,0000004640,培训,中央党校,轮训班,1979.03,1979.11
王茂林,52bc149a4ee1e91142fa066a1b1949ef26934d64,0000004640,培训,中央党校,市长班,1983.10,1983.12
王珉,380d4b69a036c3d7eb0c0f3ceba3ee1e49b41eea,0000004648,大专,安徽省淮南煤炭学院,电系矿机,1975.09,1978.09
王珉,380d4b69a036c3d7eb0c0f3ceba3ee1e49b41eea,0000004648,研究生,北京航空学院,机械系机械制造工程,1979.09,1981.12
王珉,380d4b69a036c3d7eb0c0f3ceba3ee1e49b41eea,0000004648,博士,南京航空学院,机械工程系机械制造,1983.02,1986.04
王珉,380d4b69a036c3d7eb0c0f3ceba3ee1e49b41eea,0000004648,访问学者,香港理工学院,,1987.09,1989.02
王歧山,3c2d1477068296056b0bebd0e3cb1f2ae60b2eda,0000004693,大专, 西北大学,历史,1973.00,1976.00
王歧山,3c2d1477068296056b0bebd0e3cb1f2ae60b2eda,0000004693,进修,中央党校,,1992.09,1992.11
王谦,18da803d9dfe002f3d8eb871e92f5ad466f2db6a,0000004696,,,,,
王任重,6c86e6f1fca094f1852507216cec2a213ba104c7,0000004724,,景县乡村师范学校,,1933.00,
王儒林,90af253956e8fa260546618f7de468ac11995657,0000004735,培训,吉林省直机关第一期青干班,,1975.03,1975.05
王儒林,90af253956e8fa260546618f7de468ac11995657,0000004735,本科,吉林农业大学,农业经济,1980.09,1985.07
王儒林,90af253956e8fa260546618f7de468ac11995657,0000004735,研究生,吉林大学,国民经济计划与管理,1990.08,1993.04
王儒林,90af253956e8fa260546618f7de468ac11995657,0000004735,培训,中央党校,,1996.09,1997.07
王三运,fa515be09f22fb8f2b139bb5f91c0839747bf4be,0000004744,大专,贵阳师范学院,汉语言文学,1974.08,
王三运,fa515be09f22fb8f2b139bb5f91c0839747bf4be,0000004744,进修,中央党校,,1992.09,1993.01
王三运,fa515be09f22fb8f2b139bb5f91c0839747bf4be,0000004744,研究生,中央党校,政治,1998.09,2001.07
王太华,2e8fdd4d06faa5ae3cdfbff2a1733fea0cb0ac22,0000004782,本科,江西师范大学,中文系,1965.09,1969.09
王太华,2e8fdd4d06faa5ae3cdfbff2a1733fea0cb0ac22,0000004782,培训,中央党校,,1983.09,1985.07
王宪魁,c6dcf2e0a86410bc46b9d427ac325ffe4900a96b,0000004840,学习,华东交通大学,,1981.09,1982.09
王宪魁,c6dcf2e0a86410bc46b9d427ac325ffe4900a96b,0000004840,培训,西南交通大学,铁路运输管理,1982.09,1984.07
王宪魁,c6dcf2e0a86410bc46b9d427ac325ffe4900a96b,0000004840,进修,中央党校,,1998.03,1998.07
王宪魁,c6dcf2e0a86410bc46b9d427ac325ffe4900a96b,0000004840,研究生,中央党校,经济管理,1999.09,2002.07
王宪魁,c6dcf2e0a86410bc46b9d427ac325ffe4900a96b,0000004840,本科,西南交通大学,交通运输专业,2001.09,2003.07
王学军,c1e5bca7bf817e52d7c82dfe75435ba80e447fa4,0000004885,大专,河北工学院,机械制造,1972.04,1975.08
王学军,c1e5bca7bf817e52d7c82dfe75435ba80e447fa4,0000004885,培训,中央党校,,1991.09,1992.07
王学军,c1e5bca7bf817e52d7c82dfe75435ba80e447fa4,0000004885,进修,中央党校,政治,1992.08,1994.12
王学军,c1e5bca7bf817e52d7c82dfe75435ba80e447fa4,0000004885,研究生,中央党校,党的学说与党的建设,1993.09,1996.01
王学军,c1e5bca7bf817e52d7c82dfe75435ba80e447fa4,0000004885,进修,中央党校,,2000.03,2000.07
王云坤,01dd6245cd87f42fa2322e65230f2945d061cc06,0000004964,本科,天津大学,无线电技术,1961.09,1966.09
王昭,924a7f4b3f002140cabcf392a2b855d757c7f7ea,0000004981,,,,,
王兆国,7dfcc98ff3915cad21df536729f18ca2e8ae92fe,0000004982,本科,哈尔滨工业大学,涡轮机,1961.00,1966.00
王正伟,f0d3a84055fc8097645540a505f9c46447a15dfc,0000005013,本科,宁夏大学,中文,1978.00,1982.00
王正伟,f0d3a84055fc8097645540a505f9c46447a15dfc,0000005013,进修,中央党校,,1994.09,1995.01
王正伟,f0d3a84055fc8097645540a505f9c46447a15dfc,0000005013,博士,中央民族大学,经济学,2000.00,2003.00
王忠禹,796ba8bfa772125e392cbc63a2de4f6f5d4cc9e8,0000005043,大专,沈阳轻工业高级职业学校,,1950.00,1953.00
王忠禹,796ba8bfa772125e392cbc63a2de4f6f5d4cc9e8,0000005043,培训,中央党校,,1981.00,1982.00
韦纯束,190e2e8d7ba6832a5680fbd688745e844ed6e0c4,0000005065,,,,,
韦国清,1c4be5023fa87f2a81659a094a39710c0e1ab0c0,0000005069,,瑞金红军学校,,1932.00,
卫恒,8f3e9577725d3c7e8d9cd38c504faf6aa9fbae3e,0000005086,学习,中共中央北方局晋冀豫区委党校,,,
卫留成,9eca5692af6c17a8d14b90baec7ea6fa243e7654,0000005089,本科,北京石油学院,测井,1965.09,1970.07
卫留成,9eca5692af6c17a8d14b90baec7ea6fa243e7654,0000005089,培训,中央党校,,1995.09,1996.07
尉健行,1618842198fce7158e538c8b32186d2ae4904838,0000005092,,浙江新昌南明小学、新昌中学、天台育青中学、杭州安定中学,,1937.00,1947.00
尉健行,1618842198fce7158e538c8b32186d2ae4904838,0000005092,大专,大连工学院,机械系机械制造,1949.00,1952.00
尉健行,1618842198fce7158e538c8b32186d2ae4904838,0000005092,培训,东北工业部有色金属管理局抚顺俄语训练班,,1952.00,1953.00
魏宏,44a5f531003f376755b77356bd13586962b25961,0000005101,培训,长沙铁道兵学院,政治系,1978.03,1979.08
魏宏,44a5f531003f376755b77356bd13586962b25961,0000005101,进修,重庆师专电大,党政管理,1984.09,1986.07
魏宏,44a5f531003f376755b77356bd13586962b25961,0000005101,研究生,西南财经大学,经济系,1996.01,1998.12
魏宏,44a5f531003f376755b77356bd13586962b25961,0000005101,研究生,四川省委党校,经济学,1999.09,2001.07
魏金水,317875f2236fd81b5c880e18a47d1173d9c0a63b,0000005108,,,,,
郑斯林,efed78cd0000f3f668c93def98e58edd92e14cb8,0000005168,本科,太原工学院,机械系机械制造,1958.09,1963.09
郑斯林,efed78cd0000f3f668c93def98e58edd92e14cb8,0000005168,学习,中央党校,,1993.03,1993.05
周本顺,4992a229c98937c011e0321556169d5b450b76f2,0000005235,大专,长春地质学院,石油物探,1972.04,1975.12
周本顺,4992a229c98937c011e0321556169d5b450b76f2,0000005235,培训,湖南省委党校,,1991.09,1992.01
周本顺,4992a229c98937c011e0321556169d5b450b76f2,0000005235,研究生,湖南大学,管理工程,1993.09,1996.01
周本顺,4992a229c98937c011e0321556169d5b450b76f2,0000005235,博士,武汉大学,宪法与行政法学,2005.11,2006.11
周本顺,4992a229c98937c011e0321556169d5b450b76f2,0000005235,进修,中央党校,,2006.03,2006.07
周伯华,19c28586aed145c8282fe969c6739c11886751d3,0000005240,大专,湖南株洲粉末冶金学校,稀冶,1965.09,1968.09
周伯华,19c28586aed145c8282fe969c6739c11886751d3,0000005240,学习,省委党校,,1980.09,1981.10
周伯华,19c28586aed145c8282fe969c6739c11886751d3,0000005240,培训,中央党校,,1983.09,1986.07
周林,3015d5bedb599e62c70fbb954c670fd339a180e3,0000005285,,北平宏达学院,,1931.00,
周强,c0ffceaf0ec78a7a69a91634c9fe5fb862519179,0000005297,本科,西南政法学院,法律系,1978.00,1982.00
周强,c0ffceaf0ec78a7a69a91634c9fe5fb862519179,0000005297,研究生,西南政法学院,民法,1982.00,1985.00
周强,c0ffceaf0ec78a7a69a91634c9fe5fb862519179,0000005297,培训,中央党校,,1995.09,1996.07
周强,c0ffceaf0ec78a7a69a91634c9fe5fb862519179,0000005297,进修,中央党校,,2005.11,2006.01
周兴,5229e098dc73fa65df83cba6aee495f673ee021f,0000005323,,入南昌朱德军官教育团,,1927.00,
周永康,49faacf46d51b0befbb90d1e03a46217d1461013,0000005336,本科,北京石油学院,地球物理勘探,1961.00,1966.00
周子健,22eaf611b6727559175bb0ff504ee8184c65991b,0000005355,学习,抗大、中央党校,,1937.00,
朱镕基,ee248546874434fe12213d0873d76bf027fe009d,0000005367,本科,清华大学,电机制造,1947.00,1951.00
朱小丹,1d2e8ec28ad81fd83435749b2029d245109ad5ad,0000005389,进修,广州宣传函授学院,科学社会主义,1985.09,1987.09
朱小丹,1d2e8ec28ad81fd83435749b2029d245109ad5ad,0000005389,培训,中央党校,,1990.09,1991.07
朱小丹,1d2e8ec28ad81fd83435749b2029d245109ad5ad,0000005389,研究生,中央党校,经济管理,1995.09,1998.07
朱小丹,1d2e8ec28ad81fd83435749b2029d245109ad5ad,0000005389,进修,中央党校,,2004.11,2005.01
赵紫阳,e2009dca619b27a45082ede6b49f10221dd90223,0000005470,,中共冀鲁豫省委党校,,1938.02,
苏荣,56e689e982498caa257f9c8b28ed95e43f19fed3,0000005506,学习,农业部干部培训班沈阳农学院,,1980.09,1981.01
苏荣,56e689e982498caa257f9c8b28ed95e43f19fed3,0000005506,培训,吉林省委党校,党政干部培训班,1982.03,1983.10
苏荣,56e689e982498caa257f9c8b28ed95e43f19fed3,0000005506,培训,中央党校,,1994.03,1994.05
苏荣,56e689e982498caa257f9c8b28ed95e43f19fed3,0000005506,研究生,吉林大学,国际经济系世界经济,1994.00,1997.00
苏荣,56e689e982498caa257f9c8b28ed95e43f19fed3,0000005506,进修,中央党校,,2003.03,2003.05
苏树林,f9c331f2551706b1f48bf3818191a8b9d4c84ae4,0000005509,本科,大庆石油学院,石油地质,1979.09,1983.07
苏树林,f9c331f2551706b1f48bf3818191a8b9d4c84ae4,0000005509,研究生,哈尔滨工程大学,管理科学与工程,1996.09,1999.03
苏毅然,a269cfd069b857f8cf39f0c993d1f435026ac113,0000005515,,延安马列主义学院,,,
苏振华,acf45d8f62406594ad41f4d17f9c8c262ebddbf2,0000005520,,红军大学,,1936.04,
孙春兰,af05a5946e3f61ffddcf34bb01718d15e4df1bbc,0000005536,本科,辽宁省鞍山工业技术学校,机械,1965.08,1969.11
孙春兰,af05a5946e3f61ffddcf34bb01718d15e4df1bbc,0000005536,进修,辽宁大学,经济管理,1981.09,1984.09
孙春兰,af05a5946e3f61ffddcf34bb01718d15e4df1bbc,0000005536,本科,辽宁省委党校,经济管理,1989.05,1991.12
孙春兰,af05a5946e3f61ffddcf34bb01718d15e4df1bbc,0000005536,培训,中央党校,,1992.09,1993.07
孙春兰,af05a5946e3f61ffddcf34bb01718d15e4df1bbc,0000005536,研究生,中央党校,政治学,2000.09,2003.07
孙同川,3ff051c9848bb8734d698e848d44ce85cfdb61c6,0000005604,本科,西北工业大学,飞机制造,1958.08,1963.08
孙维本,210e2c5bb98404b57677259d664104ad6e6bd4c9,0000005605,高中,,,,
孙文盛,3a8aad18868536cb4d59afd1008bb499dbde6502,0000005609,大专,山东冶金学院,冶金系有色冶炼,1960.09,1963.08
孙文盛,3a8aad18868536cb4d59afd1008bb499dbde6502,0000005609,进修,中央党校,,1986.09,1987.01
孙文盛,3a8aad18868536cb4d59afd1008bb499dbde6502,0000005609,进修,中央党校,,2001.09,2001.11
孙英,c11fca1895d4aadf1e4e8002492d403e1ac6f269,0000005621,本科,山西师范学院,历史系,1954.09,1958.06
孙政才,b6a970ae7470372da4727a8e0da2972bcf4c99f5,0000005639,本科,山东莱阳农学院,农学,1980.00,1984.00
孙政才,b6a970ae7470372da4727a8e0da2972bcf4c99f5,0000005639,研究生,北京市农林科学院、北京农业大学,作物栽培与耕作学,1984.00,1987.00
孙政才,b6a970ae7470372da4727a8e0da2972bcf4c99f5,0000005639,访问学者,英国洛桑试验站,,1991.01,1991.07
孙政才,b6a970ae7470372da4727a8e0da2972bcf4c99f5,0000005639,博士,中国农业大学,农学,1990.00,1997.00
孙政才,b6a970ae7470372da4727a8e0da2972bcf4c99f5,0000005639,培训,中央党校,,2000.00,2001.00
孙政才,b6a970ae7470372da4727a8e0da2972bcf4c99f5,0000005639,进修,中央党校,,2006.05,2006.07
孙志刚,5cceb6655bbd4a744079dd0afae7f532089ce135,0000005640,大专,武汉钢铁学院,炼钢,1973.09,1976.09
孙志刚,5cceb6655bbd4a744079dd0afae7f532089ce135,0000005640,研究生,上海财经学院,工业经济,1980.09,1983.09
孙志刚,5cceb6655bbd4a744079dd0afae7f532089ce135,0000005640,博士,武汉大学,政治经济学,1993.07,1997.06
谭震林,ea552718d7466472045719785222fa19e46d68e1,0000005680,,,,,
陶铸,82964784ae62461204a4b3df799f65c3c7e64fe3,0000005756,,,,,
田成平,8687b54638018c53a69c972f8875039cd8d01bd7,0000005768,本科,清华大学,给排水,1962.09,1968.02
田凤山,88080af63bf4834e349c147871eec46d1f521704,0000005770,大专,解放军西安第二炮兵技术学院,自动控制,,1964.00
铁瑛,842674e17c198a5f36f0c08087a97505cb2318a1,0000005801,,抗大一分校,,1939.00,
汪道涵,b150bf0ca6afb47b9ac3cf26861ef6ad66a5698d,0000005830,高中,南京中学,,,1932.00
汪道涵,b150bf0ca6afb47b9ac3cf26861ef6ad66a5698d,0000005830,,国立交通大学,机械系,1932.00,
汪道涵,b150bf0ca6afb47b9ac3cf26861ef6ad66a5698d,0000005830,,光华大学,数理系,,1937.00
汪家道,1df7d25462fd1effae884d5f5e0545157065a06d,0000005837,,,,,
汪啸风,f9cb61f668f1893e8231a1ffe02e48fad7ae67da,0000005847,本科,北京矿业学院,"机械系机械制
造专业",1964.09,1969.09
汪洋,843e02d6f4224ae413cda550928c07425d60f934,0000005848,学习,中央党校,政治经济学,1979.00,1980.00
汪洋,843e02d6f4224ae413cda550928c07425d60f934,0000005848,本科,中央党校,党政管理,1989.00,1992.00
汪洋,843e02d6f4224ae413cda550928c07425d60f934,0000005848,研究生,中国科技大学,管理科学,1993.00,1995.00
汪洋,843e02d6f4224ae413cda550928c07425d60f934,0000005848,进修,中央党校,,1997.03,1997.05
汪洋,843e02d6f4224ae413cda550928c07425d60f934,0000005848,进修,中央党校,,2001.09,2001.11
王安顺,c7413e470d82b522b8b64f60b2b857cd7bc84451,0000005856,研究生,南开大学,政治经济学,,
王恩茂,927a4c10f5a23916952de9c09fc434d01ba349b3,0000005914,学习,延安军政学院、中央党校,,1941.00,
王芳,8c7c22f74ab091dca934c716e0bf0552d3c7fa10,0000005916,,中共中央山东分局党校,,1945.00,
王国生,d186ae5a2ba05a880728d0b79cb24c9c7c892e81,0000005955,大专,山东大学,政治学,1981.09,1983.07
王国生,d186ae5a2ba05a880728d0b79cb24c9c7c892e81,0000005955,本科,山东省委党校,政治学,1997.09,2000.06
王鸿举,86b6bec49be8fbddd84e57b0b23fb075f710369f,0000005972,本科,四川大学,数学系,1963.09,1968.09
王鸿举,86b6bec49be8fbddd84e57b0b23fb075f710369f,0000005972,进修, 中央党校,,1987.02,1987.07
王朝文,bf3aba58a8742da23434c7d6e43456b98ded18ac,0000006024,,贵州省镇远专区干校,,1949.12,1956.08
文敏生,f760d17b1d9ee3830b85f8d5ad847bbd824b6e6c,0000006039,,,,,
闻世震,12ee6dff9e983c5d775413bdc86e45066b4c2dc7,0000006046,本科,大连理工大学,机制,1960.00,1965.00
吴德,f485e9e96c17d4c65aebb2915e181f37fc6b448f,0000006078,,北平弘达中学,,,
吴官正,43121806e82661133e9cb051ed7485d3020bb468,0000006089,本科, 清华大学,热工测量及自动控制,1959.00,1965.00
吴官正,43121806e82661133e9cb051ed7485d3020bb468,0000006089,研究生,清华大学,热工测量及自动控制,1965.00,1968.00
吴新雄,486ecbb92d98b124a1837d80465e1a96d398e7da,0000006151,本科,南京化工学院,有机系合成专业,1973.09,1977.01
吴亦侠,bd7cb70e5c79b4d45ae8eec427d07abfb81aa301,0000006161,本科,吉林农业大学,土化系,,1967.00
吴芝圃,21c50cf4d1cf8250ba291337f67c080e8b0d324f,0000006177,,,,,
习近平,ac9b1c8dad849486e7d8dd819c4eee4559af0eb3,0000006221,本科,清华大学,基本有机合成,1975.00,1979.00
习近平,ac9b1c8dad849486e7d8dd819c4eee4559af0eb3,0000006221,博士,清华大学,马克思主义理论与思想政治教育,1998.00,2002.00
习仲勋,8c42105feddb874f2bd73aec3a7f8ebf7a4dc022,0000006222,,,,,
夏宝龙,9503f420007e80e9b6db9308b3864ae6e059af07,0000006230,进修,天津师范学院,政史系,1975.01,1976.01
夏宝龙,9503f420007e80e9b6db9308b3864ae6e059af07,0000006230,本科,天津市河西区职工大学,中文,1980.10,1985.01
夏宝龙,9503f420007e80e9b6db9308b3864ae6e059af07,0000006230,培训,中央党校,,1995.09,1996.07
夏宝龙,9503f420007e80e9b6db9308b3864ae6e059af07,0000006230,研究生,天津市委党校,马克思主义哲学,1994.09,1997.07
夏宝龙,9503f420007e80e9b6db9308b3864ae6e059af07,0000006230,博士,北京大学,政治经济学,1999.09,2002.07
冼恒汉,5d512c51490f9e5b8ea70e6af783edac1d3cd836,0000006257,,红四方面军红军大学、保安红军大学、延安抗日军政大学,,,1936.08
向巴平措,475b795f1efec27b29f5b0f00a8ace59e06ad008,0000006259,大专,重庆大学,机械制造,1972.04,1975.10
向巴平措,475b795f1efec27b29f5b0f00a8ace59e06ad008,0000006259,培训,中央党校,,1981.09,1982.07
项南,9f9a22781dee83b0c694aa6a3ac96c3db3a29239,0000006275,,,,,
肖秧,42e79f78cba5b3d9bd34de83ca777d60ebb794c8,0000006306,,北京清华大学,,,
谢富治,3c3009a0a024e1a0903307c547ac548055468066,0000006328,,抗日红军大学 ,,,
熊清泉,ffa435004e5f330d66bc5c590d9c83e0a8e48862,0000006402,,国立师范学院,史地系,,
徐守盛,2ca3c6500d13e0b5ca1538fd4f2a83c7d4da24bb,0000006474,学习,合肥农村经济管理干部学院,农经系农业经济,1983.10,1985.07
徐守盛,2ca3c6500d13e0b5ca1538fd4f2a83c7d4da24bb,0000006474,研究生,江苏省委党校,政治经济学,1999.05,2002.10
许仲林,4c19f967eaef188e7f8bb8ef6a6ad9ff7c090e0a,0000006568,大专,解放军测绘学院,无线电专修班,1960.07,1962.07
许仲林,4c19f967eaef188e7f8bb8ef6a6ad9ff7c090e0a,0000006568,培训,中央党校,,1982.09,1983.07
薛驹,8d7a9dd9d2d69a36c542fa5185139cda2d195a62,0000006576,本科肄业,上海大同大学,,,
阎海旺,285aafb43f8dd8ebe8140e964dc7a6e5683b11f8,0000006621,本科,哈尔滨建筑工程学院,工业与民用建筑,1960.09,1965.09
阎海旺,285aafb43f8dd8ebe8140e964dc7a6e5683b11f8,0000006621,进修,中共中央党校,,1990.03,1990.05
阎红彦,a484a7b240d3d190e473de7dac817ab7ed2e1efd,0000006623,,马列学院,,,
杨传堂,4900f2c0af355498388a4060cabba903ccc37f13,0000006674,进修,山东师范大学,中文系,1981.02,1983.01
杨传堂,4900f2c0af355498388a4060cabba903ccc37f13,0000006674,进修,中央党校省部级干部进修班,,1988.03,1988.07
杨传堂,4900f2c0af355498388a4060cabba903ccc37f13,0000006674,本科,中央党校,经济管理,1993.08,1995.12
