Arcd ,Prvn,Pftn,Cont,Pst,Pstcd,Pstrm,Name,Hash_Key,Term,Offcd,Gender,Eth,Bthp,Bthd,Jnpdt ,,,
区域代码,省级名称,地市级名称,县级名称,职位,职位代码,职位备注,官员姓名,搜索键,任期期间,官员代码,性别,民族,籍贯,出生日期,入党时间,,,
110106,北京市,,丰台区,区委书记,17,,王子生,d12b1e12e476277f54760f64ee2e7f0c585a4138,1996.09-2006.08,5055,男,汉族,,1947.02,,,,
110106,北京市,,丰台区,区委书记,17,,张大力,5811283eb167822ce254326c350a0980037cf76d,2006.08-2009.03,7244,,,,,,,,
110106,北京市,,丰台区,区委书记,17,,李超钢,726ff787b2d7c4a32c4caa80743dd5d8a15b9653,2009.03-2014.12,2261,男,侗族,,1954.08,,,,
110106,北京市,,丰台区,区委书记,17,,杨艺文,839936a8692374f2a2a10f1fa788a582ae1c94bd,2014.11-至今,6872,女,汉族,山东荣成,1961.04,1983.06,,,
110107,北京市,,石景山区,区长,18,,陈文占,5824c9facbde942b941820dcd3ff06c4eb17c0b9,-2002.03,8740,,,,,,,,
110107,北京市,,石景山区,区长,18,,侯玉兰,e3eb2efd1ef5bcb88eb9e18217f6faf301d58269,2002.03-2006.10,10293,,汉族,,,,,,
110107,北京市,,石景山区,区长,18,,周茂非,7ee200ce52ec3e75c08f5af6c5d31ae289648312,2006.10-2011.02,17958,,,,,,,,
110107,北京市,,石景山区,区长,18,,夏林茂,38fb1944f760466e03fc7b5918beafcec788584a,2011.02-至今,15583,,汉族,江苏建湖,1970.05,,,,
110107,北京市,,石景山区,区委书记,17,,索连生,5abed7674d91d406c3a0a356d81ff7e35133c764,-2002.01,14185,,,,,,,,
110107,北京市,,石景山区,区委书记,17,,张燕生,8977425629985127cb6c1bcf0b8fee1de1547bd3,2003.03-2006.10,17341,男,汉族,,1950.01,,,,
110107,北京市,,石景山区,区委书记,17,,荣华,9f61d55fc8c3cabee36d3471e8d6abb5fa1ac69e,2006.10-2013.11,13622,女,汉族,辽宁朝阳,1953.1,1972.02,,,
110107,北京市,,石景山区,区委书记,17,,牛青山,1a3bf4fa86e7ba9e44653e7d4415e1af5541b53d,2013.11-至今,4008,男,汉族,河北定县,1960.12,1979.08,,,
110108,北京市,,海淀区,区长,18,,李进山,ce2f48078ae2d05a89ca9f061e328e857c2ad29f,-2002.04,11384,男,汉族,北京海淀,1950.01,,,,
110108,北京市,,海淀区,区长,18,,周良洛,27ec5429849db28c9711aec3bcda7a72c3893378,2002.04-2007.04,17951,男,汉族,江西省铅山县,1958.11,,,,
110108,北京市,,海淀区,区长,18,,林抚生,32c2701924d14cacd5d23444a0779c9841adfb7d,2007.04-2011.04,11941,男,汉族,福建福州,1964.02,1983.12,,,
110108,北京市,,海淀区,区长,18,,隋振江,c2f73e911ebfdf37a6e41b9b4d1880857f5af2ca,2011.05-2012.02,5526,男,汉族,辽宁大洼,1963.08,1984.04,,,
110108,北京市,,海淀区,区长,18,代,孙文锴,667a4e7e7935f1a90e07c517db5f637e33464a0c,2012.02-2012.11,5608,男,汉族,四川邛崃,1966.06,1985.06,,,
110108,北京市,,海淀区,区长,18,,孙文锴,667a4e7e7935f1a90e07c517db5f637e33464a0c,2012.11-2015.04,5608,男,汉族,四川邛崃,1966.06,1985.06,,,
110108,北京市,,海淀区,区长,18,代,于军,b127d8974ab11bb34cf471eba037fc712ac1fee4,2015.04-至今,16620,男,汉族,山东平度,1964.06,1985.01,,,
110108,北京市,,海淀区,区委书记,17,,朱善璐,f724114fa75cb4b8d4e0d7204c9d7da7da5327c2,1998.04-2002.05,18301,男,汉族,辽宁沈阳,1953.11,,,,
110108,北京市,,海淀区,区委书记,17,,谭维克,c85514385ed3861c62ca655b1e1120262e8bf64e,2003.01-2009.11,14225,男,汉族,四川宣汉,1954.1,1981.06,,,
110108,北京市,,海淀区,区委书记,17,,赵凤桐,8d82d91be341c5950df18300fbe68887c4b6b32e,2009.11-2012.02,7863,男,汉族,辽宁辽阳,1954.12,,,,
110108,北京市,,海淀区,区委书记,17,,隋振江,c2f73e911ebfdf37a6e41b9b4d1880857f5af2ca,2012.04-2015.06,5526,男,汉族,辽宁大洼,1963.08,1984.04,,,
110108,北京市,,海淀区,区委书记,17,,崔述强,8cf8ce1211e094cae54c05c89bfa9456c7e22491,2015.06-至今,9006,男,汉族,北京市,1963.05,1988.09,,,
110109,北京市,,门头沟区,区长,18,,刘永富,e2d2af75240f4c70c839b1dcb243d7c47d239cd7,1997.09-2002.03,12429,,,,,,,,
110109,北京市,,门头沟区,区长,18,,董瑞龙,8a4552ed26c00b1e43ceeb9bf99fbf0ff8a51799,2002.03-2003.01,895,男,汉族,北京昌平,1952.05,1969.06,,,
110109,北京市,,门头沟区,区长,18,,伊欣欣,483ab789ae25b620cb7ec7606f621e099c471411,2003.01-2006.03,6991,男,汉族,辽宁省锦州市,1950.01,1970.03,,,
110109,北京市,,门头沟区,区长,18,,刘云广,e3c530a22c36b0cd747fc11d153ff04c54ed799e,2006.04-2010.03,3457,男,汉族,山东烟台,1959.08,1986.09,,,
110109,北京市,,门头沟区,区长,18,代,王洪钟,afc4e31ef31e3d1782e8f322c01f7c5c2810f2fa,2010.03-2010.08,5971,男,汉族,北京房山,1965.02,,,,
110109,北京市,,门头沟区,区长,18,,王洪钟,afc4e31ef31e3d1782e8f322c01f7c5c2810f2fa,2010.08-2015.04,5971,男,汉族,北京房山,1965.02,,,,
110109,北京市,,门头沟区,区长,18,代,张贵林,e2b66433094b752e364c6e3ea50f464c621cca33,2014.10-2015.02,7300,男,汉族,广西兴安,1963.04,1982.11,,,
110109,北京市,,门头沟区,区长,18,,张贵林,e2b66433094b752e364c6e3ea50f464c621cca33,2015.02-至今,7300,男,汉族,广西兴安,1963.04,1982.11,,,
110109,北京市,,门头沟区,区委书记,17,,李建华,dc0a7d6a6ddb0280a8f21acb297013f0d5713dd2,1998.10-2003.01,2413,男,汉族,北京市,1947.12,,,,
110109,北京市,,门头沟区,区委书记,17,,董瑞龙,8a4552ed26c00b1e43ceeb9bf99fbf0ff8a51799,2003.01-2006.03,895,男,汉族,北京昌平,1952.05,1969.06,,,
110109,北京市,,门头沟区,区委书记,17,,伊欣欣,483ab789ae25b620cb7ec7606f621e099c471411,2006.03-2010.03,6991,男,汉族,辽宁省锦州市,1950.01,1970.03,,,
110109,北京市,,门头沟区,区委书记,17,,刘云广,e3c530a22c36b0cd747fc11d153ff04c54ed799e,2010.03-2011.03,3457,男,汉族,山东烟台,1959.08,1986.09,,,
110109,北京市,,门头沟区,区委书记,17,,韩子荣,8047ba8324f6943eb822c4863d0f0b99416c9995,2011.03-至今,10069,女,汉族,北京朝阳,1964.03,1986.04,,,
110111,北京市,,房山区,区长,18,,王凤江,cea84075943bcfcf0b67a4eb2ce0abc626995716,,5920,,,,,,,,
110111,北京市,,房山区,区长,18,,李庆余,3b8413a2b25760a103d05dfba4875659346ccca6,1987.05-1993.10,2573,,,,,,,,
110111,北京市,,房山区,区长,18,,焦志忠,7c21066c7ec3b9e6b9d908ebedf095964286086b,1993.10-,2093,男,汉族,北京大兴,1948,1980.09,,,
110111,北京市,,房山区,区长,18,,张效廉,d4e30bb4b576e56cbaa4efeae1d1a25b593ff67b,2001.08-2005.03,7698,男,汉族,山东梁山,1964.04,1985.01,,,
110111,北京市,,房山区,区长,18,代,祁红,bc6464c69c4a60d5061834326fe139d300d18f86,2005.04-2006.01,4138,男,汉族,北京宣武,1955.06,1975.02,,,
110111,北京市,,房山区,区长,18,,祁红,bc6464c69c4a60d5061834326fe139d300d18f86,2006.01-2014.12,4138,男,汉族,北京宣武,1955.06,1975.02,,,
110111,北京市,,房山区,区长,18,代,曾赞荣,546c205a62717b82a554ccf7aecb74ca061ff38a,2014.12-2015.01,225,男,汉族,湖南邵东,1969.08,1987.1,,,
110111,北京市,,房山区,区长,18,,曾赞荣,546c205a62717b82a554ccf7aecb74ca061ff38a,2015.01-至今,225,男,汉族,湖南邵东,1969.08,1987.1,,,
110111,北京市,,房山区,区委书记,17,,王凤江,cea84075943bcfcf0b67a4eb2ce0abc626995716,,5920,,,,,,,,
110111,北京市,,房山区,区委书记,17,,王作升,4411c62c13d80fb73cfe16e711c1b49a53a67dc2,1987.01-1989.03,15174,,,,,,,,
110111,北京市,,房山区,区委书记,17,,邵干坤,087235d73d709363e9e6a4268bbf2332f67aa318,1989.03—1993.10,13685,,,,,,,,
110111,北京市,,房山区,区委书记,17,,李庆余,3b8413a2b25760a103d05dfba4875659346ccca6,1993.10-,2573,,,,,,,,
110111,北京市,,房山区,区委书记,17,,单霁翔,f9fe001f03ea986f524a23c4ea39cdba7ab06c9d,1997.08—2000.01,9062,男,汉族,北京市,1954,1985.06,,,
110111,北京市,,房山区,区委书记,17,,杨德宏,0848280a0c4f0ae9ade39b18ba9cbdae318fd398,-2003.08,16163,,,,,,,,
110111,北京市,,房山区,区委书记,17,,聂玉藻,6535a5720bebf4a444d9afd948c07419900b70cd,2003.08-2008.10,13209,男,汉族,觅子店乡后尖平村,1955.1,1984.05,,,
110111,北京市,,房山区,区委书记,17,,刘伟,e20bc1f136070b0b15d9025eeefb11cbdb7388f1,2008.12-至今,3363,男,汉族,河南漯河,1957.1,1981.04,,,
110112,北京市,,通州区,区长,18,,焦志忠,7c21066c7ec3b9e6b9d908ebedf095964286086b,1997.04-2003.09,2093,男,汉族,北京大兴,1948,1980.09,,,
110112,北京市,,通州区,区长,18,,邓小刚,fe0a30427b9c9840a7bdb1871f0891b9f2305513,2003.09-2005.06,9132,男,汉族,湖南桂阳,1967.08,1991.12,,,
110112,北京市,,通州区,区长,18,,邓乃平,e000893dcf023e001aff0936deb00226c52130f1,2005.07-2010.02,9116,男,汉族,,1962.05,1984.06,,,
110112,北京市,,通州区,区长,18,,岳鹏,49dc07fe22294b0cbd747fd532924781a6b93aa5,2010.03-至今,16798,男,汉族,北京市,1963.03,1990.02,,,
110112,北京市,,通州区,区委书记,17,,赵家骐,ba460023b4295227b46f01328c7f1ad71ba33a9e,1997.04-2000.07,17560,,,北京市,1949.01,1970.06,,,
110112,北京市,,通州区,区委书记,17,,崔君乐,d7a5072e6d333953407e376fb858c46e192a0dc6,2000.07-2003.09,8995,,,,,,,,
110112,北京市,,通州区,区委书记,17,,梁伟,3b569eb70abf1c8340462182c4a3ae27b09907b0,2003.09-2007.07,11864,男,汉族,河北获鹿,1952.07,1977.09,,,
110112,北京市,,通州区,区委书记,17,,王云峰,5cdfdc74601432a55dfa7bc0e6f96ccc1a813178,2007.08-2014.11,4963,男,汉族,河北阜城,1954.04,1979.03,,,
110112,北京市,,通州区,区委书记,17,,杨斌,91b8c95b27711c6cc222f0e1c8e29f983e345e80,2014.11-至今,6658,男,汉族,山东昌邑,1961.12,1985.05,,,
110113,北京市,,顺义区,区长,18,,孙政才,b6a970ae7470372da4727a8e0da2972bcf4c99f5,1998.04-2002.02,5639,男,汉族,山东荣成,1963.09,1988.07,,,
110113,北京市,,顺义区,区长,18,,李平,58de8c97009a628db41b7047b0d0679d9f33d4f5,2002.02-2006.10,2542,男,,,,,,,
110113,北京市,,顺义区,区长,18,,张延昆,b3d6bbd447db2d4a7316b0a909c7dadeb96da1ae,2006.10-2009.03,7730,男,汉族,河南方城,1963.01,1985.04,,,
110113,北京市,,顺义区,区长,18,,刘剑,b1e9eccecb3a26f0c912ba4efabc524c6cff1fb3,2009.03-2010.06,3223,男,汉族,山东平阴,1970.02,1991.01,,,
110113,北京市,,顺义区,区长,18,,王刚,5cfc97c1bd399c00360fe1c6ef4bdba1cd6b8fba,2010.07-2013.03,6019,男,汉族,辽宁锦西,1968.07,,,,
110113,北京市,,顺义区,区长,18,,卢映川,732371aa46b21b94a36e27817be001dbfe386042,2013.03-至今,3565,男,汉族,安徽阜南,1968.05,1986.07,,,
110113,北京市,,顺义区,区委书记,17,,赵义,788aea3a64200d04b062aa602c110973a709ef5c,1998.03-2002.02,17666,男,汉族,北京顺义,1952.03,1973.1,,,
110113,北京市,,顺义区,区委书记,17,,孙政才,b6a970ae7470372da4727a8e0da2972bcf4c99f5,2002.02-2002.11,5639,男,汉族,山东荣成,1963.09,1988.07,,,
110113,北京市,,顺义区,区委书记,17,,夏占义,0f4c1ba5bab392de7e46181f042617e72ca2e4cd,2002.11-2009.01,15601,男,汉族,北京市顺义区杨镇,1954.12,1974.12,,,
110113,北京市,,顺义区,区委书记,17,,张延昆,b3d6bbd447db2d4a7316b0a909c7dadeb96da1ae,2009.03-2013.01,7730,男,汉族,河南方城,1963.01,1985.04,,,
110113,北京市,,顺义区,区委书记,17,,王刚,5cfc97c1bd399c00360fe1c6ef4bdba1cd6b8fba,2013.03-至今,6019,男,汉族,辽宁锦西,1968.07,,,,
110114,北京市,,昌平区,区长,18,,赵凤桐,8d82d91be341c5950df18300fbe68887c4b6b32e,1999.12-2001.12,7863,男,汉族,辽宁辽阳,1954.12,,,,
