Nan Cewen,2000-,Professor,Tsinghua University,Materials Department,Beijing Municipality
Nan Cewen,1999-2000,Visiting Professor,Rutgers, The State University of New Jersey,USA,New Jersey,Camden
Nan Cewen,1994-1995,Visiting Professor,University of California,USA,California,Santa Barbara
Nan Cewen,1992-2000,Professor,Wuhan University of Technology,Hubei Province,Wuhan City
Nan Cewen,1990-1991,Visiting Scholar,University of New Mexico,USA,New Mexico,Albuquerque
Nan Cewen,1988-1992,Associate Professor,Wuhan University of Technology,Hubei Province,Wuhan City
Nan Cewen,1985-1992,Student,Wuhan University of Technology,Hubei Province,Wuhan City
Nan Cewen,1979-1985,Student,East China University of Science and Technology,Shanghai Municipality
Nan Changming,2004-2007,Vice-President,State Development and Investment Corporation
Nan Changming,1999-2004,Deputy Executive Director,Ministry of Justice,Planning and Financial Department
Nan Changming,1999-2004,Secretary,CPC,Central Committee,Central Party School,Education Administration Office
Nan Changming,1994-1999,Deputy Executive Director,Ministry of Human Resources and Social Security,Comprehensive Planning Department
Nan Changming,1990-1994,General Manager,China International Advertising Corporation
Nan Changming,1989-1990,Vice-Mayor,People's Government,Liaoning Province,Dalian City
Nan Changming,1989-1990,Special Commissioner,Ministry of Foreign Trade and Economic Cooperation,Liaoning Province,Dalian City
Nan Changming,1983-1989,President,China National Packaging Corporation
Nan Cunhui,2008-2013,Deputy,NPC
Nan Cunhui,2004,Presenter,Boao Forum For Asia,Hainan Province
Nan Cunhui,2003-,Deputy,NPC
Nan Cunhui,2003-,Vice-Chairman,Zhejiang Provincial Federation of Industry and Commerce,Zhejiang Province
Nan Cunhui,2003,Presenter,Davos World Economy Forum,Switzerland,Davos
Nan Cunhui,1998-2003,Deputy,NPC
Nan Cunhui,1997-2002,Board Member,All-China Federation of Industry and Commerce,Standing Committee
Nan Cunhui,1994-,Chairman of the Board,CHINT Group Corporation
Nan Cunhui,1984,Founder,Qiujing Switch Factory,Zhejiang Province,Leqing
Nan Ping,1969-1973,Member,CPC,Central Committee
Nan Ping,1937,Joined,CPC
Nan Ying,2009-,Vice-President,Supreme People's Court
Nan Ying,2005-2009,Secretary,Higher People's Court (at provincial level),CPC,Party Committee,Heilongjiang Province
Nan Ying,2005-2009,President,Higher People's Court (at provincial level),Heilongjiang Province
Nan Ying,2004-2005,Acting President,Higher People's Court (at provincial level),Heilongjiang Province
Nan Ying,2004-2005,Vice-President,Higher People's Court (at provincial level),Heilongjiang Province
Nan Ying,2004-2009,Deputy Secretary,CPC,Provincial Committee,Political and Legislative Affairs Committee
Nan Ying,2000-2004,President,Supreme People's Court,No.1 Criminal Tribunal
Nan Ying,1998-2004,Member,Supreme People's Court,Judicial Committee
Nan Ying,1998-2000,President,Supreme People's Court,No.2 Criminal Tribunal
Nan Ying,1997-1998,Vice-President,Higher People's Court (at provincial level),Heilongjiang Province
Nan Ying,1992-1998,Vice-President,Supreme People's Court,No.2 Criminal Tribunal
Nan Ying,1992-1998,Vice-President,Supreme People's Court,No.1 Criminal Tribunal
Nan Ying,1985-1992,Judge,Supreme People's Court,No.1 Criminal Tribunal
Nan Ying,1983-1985,Assistant Judge,Supreme People's Court,No.1 Criminal Tribunal
Nan Ying,1980-1983,Clerk,Supreme People's Court,No.1 Criminal Tribunal
Nan Ying,1977-1980,Student,Beijing University,Law Department,Beijing Municipality
Nan Zhenzhong,2008-2013,Vice-Chairman,Foreign Affairs Committee of the NPC
Nan Zhenzhong,2008-2013,Member,Standing Committee of the NPC
Nan Zhenzhong,2007-2012,Delegate,CPC,National Congress
Nan Zhenzhong,2002-2007,Delegate,CPC,National Congress
Nan Zhenzhong,2000-2007,Deputy Secretary,Xinhua News Agency,CPC,Leading Party Group
Nan Zhenzhong,2000-2007,Editor-in-Chief,Xinhua News Agency
Nan Zhenzhong,1998-2003,Deputy,NPC
Nan Zhenzhong,1997-2002,Delegate,CPC,National Congress
Nan Zhenzhong,1996-2003,Vice-President,Chinese Journalists Association
Nan Zhenzhong,1992-1997,Delegate,CPC,National Congress
Nan Zhenzhong,1987-1992,Delegate,CPC,National Congress
Nan Zhenzhong,1986-,Editor-in-Chief,Xinhua News Agency,Office of General Editing
Nan Zhenzhong,1978,Joined,CPC
Nan Zhenzhong,1964,Joined,Xinhua News Agency
Nan Zhenzhong,1964,Graduate,Zhengzhou University,Henan Province,Zhengzhou City
Ngapoi Ngawang Jigme,2008-2013,Vice-Chairman,CPPCC,National Committee
Ngapoi Ngawang Jigme,2003-2008,Vice-Chairman,CPPCC,National Committee
Ngapoi Ngawang Jigme,1999,Member,Macao SAR Preparatory Committee,Government Delegation, Macao Hand-Over Ceremony
Ngapoi Ngawang Jigme,1998-2003,Vice-Chairman,CPPCC,National Committee
Ngapoi Ngawang Jigme,1993-1998,Vice-Chairman,CPPCC,National Committee
Ngapoi Ngawang Jigme,1988-1993,Vice-Chairman,Standing Committee of the NPC
