Ismail Amat,2003-,Vice-Chairman,Standing Committee of the NPC
Ismail Amat,2002-2007,Member,CPC,Central Committee
Ismail Amat,2000-,Vice-Chairman,China International Committee for Natural Disaster
Ismail Amat,1998-????,Director,State Council Coordination Committee for the Work of Disabled Persons
Ismail Amat,1997-2002,Member,CPC,Central Committee
Ismail Amat,1993-2003,State Councilor,State Council
Ismail Amat,1992-1997,Member,CPC,Central Committee
Ismail Amat,1988-1993,Vice-Chairman,CPPCC,National Committee
Ismail Amat,1987-1992,Member,CPC,Central Committee
Ismail Amat,1985-1998,Secretary,State Ethnic Affairs Commission,CPC,Leading Party Group
Ismail Amat,1985-1998,Minister,State Ethnic Affairs Commission
Ismail Amat,1982-1987,Member,CPC,Central Committee
Ismail Amat,1978-1983,Member,Standing Committee of the NPC
Ismail Amat,1977-1982,Member,CPC,Central Committee
Ismail Amat,1972-1977,Member,CPC,Central Committee
Ismail Amat,1972-1985,Chairman,Autonomous Region People's Government,Xinjiang Uygur Autonomous Region
Ismail Amat,1972-1985,Vice-Chairman,Cultural Revolution,Revolutionary Committee,Xinjiang Uygur Autonomous Region
Ismail Amat,1972-1985,Head,CPC,Autonomous Regional Committee,Organization Department,Xinjiang Uygur Autonomous Region
Ismail Amat,1972-1985,Secretary,CPC,Autonomous Regional Committee,Organization Department,Xinjiang Uygur Autonomous Region
Ismail Amat,1969-1972,Head,Group for Regional Cultural, Educational and Health Work,Xinjiang Uygur Autonomous Region
Ismail Amat,1969-1972,Member,Xinjiang Uygur Autonomous Region,Cultural Revolution,Revolutionary Committee,Standing Committee,Xinjiang Uygur Autonomous Region
Ismail Amat,1966-1967,Deputy Director,CPC,Autonomous Regional Committee,Cultural, Education and Political Work Department,Xinjiang Uygur Autonomous Region
Ismail Amat,1963-1965,Deputy Head,CPC,Autonomous Prefectural Committee,Publicity Department,Xinjiang Uygur Autonomous Region,Hotan (Hetian)
Ismail Amat,1960-1962,Student,CPC,Central Committee,Central Party School
Ismail Amat,1954-1962,Magistrate,County (District) People's Court,Xinjiang Uygur Autonomous Region,Qira
Ismail Amat,1954-1962,Deputy Secretary,CPC,Autonomous County Committee,Xinjiang Uygur Autonomous Region,Qira
Ismail Amat,1954-1962,Secretary,CYLC,Autonomous County-Level,Xinjiang Uygur Autonomous Region,Qira
Ismail Amat,1953,Joined,CPC
Ismail Tiliwaldi,2008-2013,Vice-Chairman,Standing Committee of the NPC
Ismail Tiliwaldi,2007-2012,Member,CPC,Central Committee
Ismail Tiliwaldi,2003-2007,Chairman,Autonomous Region People's Government,Xinjiang Uygur Autonomous Region
Ismail Tiliwaldi,2002-2007,Alternate Member,CPC,Central Committee
Ismail Tiliwaldi,1998-,Deputy Secretary,CPC,Autonomous Regional Committee,Politics and Law Committee,Xinjiang Uygur Autonomous Region
Ismail Tiliwaldi,,Member,CPC,Autonomous Regional Committee,Standing Committee,Xinjiang Uygur Autonomous Region
Ismail Tiliwaldi,1998-2000,Member,Autonomous Region People's Government,CPC,Leading Party Group,Xinjiang Uygur Autonomous Region
Ismail Tiliwaldi,1995-1998,Deputy Political Commissar,Xinjiang Production and Construction Corps,Xinjiang Uygur Autonomous Region
Ismail Tiliwaldi,1995-1998,Member,Xinjiang Production and Construction Corps,CPC,Party Committee,Standing Committee,Xinjiang Uygur Autonomous Region
Ismail Tiliwaldi,1993-1995,Secretary-General,Autonomous Region People's Government,Xinjiang Uygur Autonomous Region,Kashi Prefecture
Ismail Tiliwaldi,1990-1993,Commissioner,People's Government,Xinjiang Uygur Autonomous Region,Kashi Prefecture
Ismail Tiliwaldi,1983-1990,Deputy Commissioner,People's Government,Xinjiang Uygur Autonomous Region,Kashi Prefecture
Ismail Tiliwaldi,1980-1983,Chief,Personnel Department,Xinjiang Uygur Autonomous Region,Kashi Prefecture
Ismail Tiliwaldi,1980-1983,Deputy Chief,Personnel Department,Xinjiang Uygur Autonomous Region,Kashi Prefecture
Ismail Tiliwaldi,1976-1980,Staff Official,CPC,Autonomous Prefectural Committee,Organization Department,Xinjiang Uygur Autonomous Region,Kashi Prefecture
Ismail Tiliwaldi,1973-1976,Staff Official,CPC,Autonomous County Committee,Organization Department,Xinjiang Uygur Autonomous Region,Shufu County
Ismail Tiliwaldi,1973,Joined,CPC
Ismail Tiliwaldi,1967-1973,Worker,Xinjiang Uygur Autonomous Region,Shufu County
Ismail Tiliwaldi,1967,Graduate,Xinjiang University,Mathematics Department,Xinjiang Uygur Autonomous Region
