Zakir Shohrat,2014—,Acting Chairman,Autonomous Region People's Government,Xinjiang Uygur Autonomous Region
Zakir Shohrat,2014—,Deputy Secretary,CPC,Autonomous Regional Committee,Xinjiang Uygur Autonomous Region
Zang Shikai,2012—,Deputy Director,Provincial People's Congress,Standing Committee,Anhui Province
Zang Shikai,2003—,Member,CPC,Provincial Committee,Standing Committee,Anhui Province
Zang Shikai,2003—2011,Director,CPC,Provincial Committee,Publicity Department,Anhui Province
Zang Shikai,2003—2003,Director,City People's Congress,Standing Committee,Anhui Province,Huangshan City
Zang Shikai,1999—2003,Secretary,Huangshan Scenery Zone Management Committee,CPC,Party Committee,Anhui Province,Huangshan City
Zang Shikai,1998—2003,Secretary,CPC,City Committee,Anhui Province,Huangshan City
Zang Shikai,1997—1999,Director,Huangshan Scenery Zone Management Committee,Anhui Province,Huangshan City
Zang Shikai,1997—1999,Mayor,People's Government,Anhui Province,Huangshan City
Zang Shikai,1994—1998,Deputy Secretary,CPC,City Committee,Anhui Province,Huangshan City
Zang Shikai,1994—1997,Vice-Mayor,People's Government,Anhui Province,Huangshan City
Zang Shikai,1991—1994,Secretary,CPC,District Committee,Anhui Province,Hefei City,Suburban District
Zang Shikai,1989—1991,Director,CPC,District Committee,Organization Department,Anhui Province,Hefei City,Suburban District
Zang Shikai,1985—1991,Deputy Secretary,CPC,District Committee,Anhui Province,Hefei City,Suburban District
Zang Shikai,1983—1985,Vice-Chairman,City Science and Technology Society,Anhui Province,Hefei City
Zang Shikai,1979—1983,Secretary,City Science and Technology Society,CPC,Party Committee,Anhui Province,Hefei City
Zang Shikai,1974—1977,Student,Anhui Normal University,Chinese Literature Department,Anhui Province,Hefei City
Zang Xianfu,2012—,Member,CPC,Central Committee,Central Commission for Discipline Inspection
Zang Xianfu,2007—2012,Member,CPC,Central Committee,Central Commission for Discipline Inspection
Zang Xianfu,2006—,Secretary,CPC,Municipal Committee,Commission for Discipline Inspection,Tianjin Municipality
Zang Xianfu,2006—,Member,CPC,Municipal Committee,Tianjin Municipality
Zang Xianfu,1983—2001,Director,Government Offices Administration of the State Council,Personnel Department
Zang Xianfu,,Cadre,PLA,General Political Department,Organization Department
Zang Xianfu,,Cadre,PLA,Services and Arms,Capital Construction Engineering Corps
Zang Xianfu,1973,Joined,CPC
Zebazou ,2007—,Vice-Governor,People's Government,Gansu Province
Zebazou ,2007—,Member,People's Government,CPC,Leading Party Group,Gansu Province
Zebazou ,2005—2007,Secretary,Finance Department,CPC,Leading Party Group,Sichuan Province
Zebazou ,2005—2007,Director,Finance Department,Sichuan Province
Zebazou ,2000—2005,Director,Labor and Social Security Department,Sichuan Province
Zebazou ,1998—2000,Director,Provincial Labor Department,Sichuan Province
Zebazou ,1997—2000,Secretary,Provincial Labor Department,CPC,Leading Party Group,Sichuan Province
Zebazou ,1995—1996,Student,CPC,Central Committee,Central Party School
Zebazou ,1987—1997,Administrative Chief,Autonomous Region People's Government,Sichuan Province,Ngawa Tibetan and Qiang Autonomous Prefecture
Zebazou ,1987—1997,Deputy Secretary,CPC,Autonomous Prefectural Committee,Sichuan Province,Ngawa Tibetan and Qiang Autonomous Prefecture
Zebazou ,1986—1987,Deputy Administrative Chief,Autonomous Region People's Government,Sichuan Province,Ngawa Tibetan and Qiang Autonomous Prefecture
Zebazou ,1983—1986,Secretary,CPC,County Committee,Sichuan Province,Aba County
Zebazou ,1982—1983,Secretary,CPC,Autonomous Prefectural Committee,CYLC,Autonomous Prefecture-Level,Sichuan Province,Ngawa Tibetan and Qiang Autonomous Prefecture
Zebazou ,1975—1978,Student,Minzu University of China,Political Department,Beijing Municipality
Zeng Chengkui,,Honorable Dean,Chinese Academy of Sciences,Institute of Oceanography
Zeng Chengkui,,Researcher,Chinese Academy of Sciences,Institute of Oceanography
Zeng Chengkui,1991,Permanent Honorable Member,World Aquiculture Cultivation Academy
Zeng Chengkui,1987,Honorary Doctorate,Ohio State University,USA,Ohio,Columbus
Zeng Chengkui,1985—,Academician,Third World Academy of Sciences
Zeng Chengkui,1980—,Academician,Chinese Academy of Sciences
Zeng Chengkui,1942,Graduate,University of Michigan,USA,Michigan,Dearborn
Zeng Chengkui,1934,Graduate,Hong Kong Lingnan University,Hong Kong SAR
Zeng Chengkui,1931,Graduate,Xiamen University,Fujian Province,Xiamen City
Zeng Dexin,1998—,Secretary,Shaoguan Iron and Steel Group Company Limited,CPC,Party Committee
Zeng Dexin,1996—,Chairman,Shaoguan Iron and Steel Group Company Limited
Zeng Dexin,1995—,General Manager,Shaoguan Iron and Steel Group Company Limited
Zeng Guohua,1969—1973,Member,CPC,Central Committee
Zeng Jianhui,1998—2003,Member,Standing Committee of the NPC
Zeng Jianhui,1998—2003,Chairman,Foreign Affairs Committee of the NPC
Zeng Jianhui,1997—2002,Delegate,CPC,National Congress
Zeng Jianhui,1992—1997,Delegate,CPC,National Congress
Zeng Jianhui,1982—1987,Delegate,CPC,National Congress
